step,joint_2_rad,joint_2_deg
0,-1.5682108402252197,-89.85193842625536
1,-1.6001183986663818,-91.68010840369008
2,-1.6328271627426147,-93.5541841213114
3,-1.6721822023391724,-95.80906369737968
4,-1.931695818901062,-110.67811121189945
5,-2.072937250137329,-118.7706559496049
6,-1.6991028785705566,-97.35150612992153
7,-2.2932164669036865,-131.39173604533488
8,-1.4666777849197388,-84.03451796241806
9,-2.482577085494995,-142.241309460846
10,-2.5712363719940186,-147.32111668261084
11,-2.6567344665527344,-152.21980079497712
12,-2.7391510009765625,-156.9419243681643
13,-2.8185153007507324,-161.48916763012738
14,-2.8942408561706543,-165.82792602176534
15,-2.965965509414673,-169.93744941085282
16,-2.752953052520752,-157.73272433822854
17,-2.8181722164154053,-161.46951032909226
18,-2.8775691986083984,-164.87270959912394
19,-2.930669069290161,-167.9151106516856
20,-2.9768712520599365,-170.56230296467348
21,-3.0154287815093994,-172.77148853659833
22,-3.0453755855560303,-174.48731546767257
23,-3.0653562545776367,-175.63212444143718
24,-3.0732176303863525,-176.08254847689975
25,-3.064882755279541,-175.60499490713855
26,-3.0300047397613525,-173.60663013220804
27,-2.884194850921631,-165.25233183384643
28,-2.897721290588379,-166.02734039321115
29,-2.969484806060791,-170.13909042584882
30,-3.0530200004577637,-174.92530854834573
31,-3.0288896560668945,-173.54274048874646
32,-3.0088582038879395,-172.39502185193774
33,-2.9888556003570557,-171.24895612230432
34,-2.967919111251831,-170.04938264551694
35,-2.9484989643096924,-168.9366892483566
36,-2.930877447128296,-167.9270498324394
37,-2.912306308746338,-166.86300108363625
38,-2.895456314086914,-165.89756668936576
39,-2.8799026012420654,-165.00640383486444
40,-2.8641645908355713,-164.10468149898708
41,-2.849848985671997,-163.28445704912465
42,-2.8338255882263184,-162.36638322656276
43,-2.819493532180786,-161.5452162097987
44,-2.803234100341797,-160.61361860125714
45,-2.789640426635742,-159.8347578119467
46,-2.775195837020874,-159.00714309116
47,-2.758760452270508,-158.06546411488813
48,-2.7437522411346436,-157.20555623242876
49,-2.7320556640625,-156.53539116538124
50,-2.7134511470794678,-155.4694299619951
51,-2.724299669265747,-156.09100502224496
52,-2.727484941482544,-156.27350783102122
53,-2.735351324081421,-156.72421873467124
54,-2.745584487915039,-157.31053632864476
55,-2.7507214546203613,-157.6048630889661
56,-2.76004695892334,-158.13917557867234
57,-2.767479658126831,-158.5650382331334
58,-2.774817943572998,-158.98549137320265
59,-2.782212972640991,-159.40919568606293
60,-2.7888879776000977,-159.79164562149026
61,-2.7966434955596924,-160.23600444384678
62,-2.8052480220794678,-160.72900791456053
63,-2.811769962310791,-161.1026878796859
64,-2.8187358379364014,-161.50180349076496
65,-2.827101707458496,-161.98113291121035
66,-2.8370020389556885,-162.54838060091353
67,-2.8430862426757812,-162.89698009022203
68,-2.85233736038208,-163.42703053828617
69,-2.8573296070098877,-163.7130654419513
70,-2.865788698196411,-164.19773607483918
71,-2.865584135055542,-164.18601546032346
72,-2.8672354221343994,-164.2806273206217
73,-2.8672537803649902,-164.28167917064235
74,-2.8672537803649902,-164.28167917064235
75,-2.8655202388763428,-164.18235447583604
76,-2.8674983978271484,-164.29569473065763
77,-2.865591049194336,-164.18641161162992
78,-2.8656225204467773,-164.18821478309388
79,-2.8656487464904785,-164.18971742598052
80,-2.866978883743286,-164.26592874111248
81,-2.8656959533691406,-164.19242218317646
82,-2.8652637004852295,-164.1676558963268
83,-2.8672733306884766,-164.28279932261236
84,-2.865750312805176,-164.19553675206876
85,-2.8672332763671875,-164.28050437711278
86,-2.867215633392334,-164.2794935082618
87,-2.8672001361846924,-164.27860558291968
88,-2.8671863079071045,-164.27781328030673
89,-2.867173671722412,-164.27708927964318
90,-2.867161512374878,-164.27639259975936
91,-2.8654983043670654,-164.18109771996723
92,-2.8656461238861084,-164.18956716169185
93,-2.8674299716949463,-164.2917741987625
94,-2.868100881576538,-164.33021453588051
95,-2.8665781021118164,-164.24296562572678
96,-2.8670356273651123,-164.26917991390354
97,-2.867560386657715,-164.29924643202605
98,-2.869396924972534,-164.40447241525985
99,-2.870142936706543,-164.44721577518956
100,-2.8694019317626953,-164.4047592834473
101,-2.8696882724761963,-164.42116541169133
102,-2.8719770908355713,-164.55230515452456
103,-2.8727188110351562,-164.59480262743648
104,-2.8735339641571045,-164.64150750043095
105,-2.8748908042907715,-164.71924877922928
106,-2.874525308609009,-164.69830740154558
107,-2.8768575191497803,-164.8319333353367
108,-2.8779990673065186,-164.8973392820748
109,-2.8792645931243896,-164.96984863154967
110,-2.8795673847198486,-164.98719732669534
111,-2.881286144256592,-165.08567507732917
112,-2.8842689990997314,-165.2565802150986
113,-2.886063814163208,-165.35941563010368
114,-2.887347936630249,-165.4329904899891
115,-2.8898215293884277,-165.57471703497816
116,-2.8927319049835205,-165.74146941422455
117,-2.8953092098236084,-165.88913822881074
118,-2.8979692459106445,-166.04154719868475
119,-2.9022879600524902,-166.28899150094324
120,-2.906156301498413,-166.5106313267213
121,-2.910177230834961,-166.7410138020216
122,-2.915823221206665,-167.06450549473348
123,-2.9170141220092773,-167.1327391421764
124,-2.921668767929077,-167.39943093377363
125,-2.9228086471557617,-167.46474125778258
126,-2.927799701690674,-167.7507078594983
127,-2.934140205383301,-168.11399226792616
128,-2.9381103515625,-168.34146508018233
129,-2.941815137863159,-168.55373387850378
130,-2.946347713470459,-168.81343155048324
131,-2.951162099838257,-169.08927580329905
132,-2.9571499824523926,-169.43235649509666
133,-2.9621901512145996,-169.72113713712736
134,-2.965237855911255,-169.89575790094375
135,-2.9701342582702637,-170.17630132787775
136,-2.9749577045440674,-170.45266467550894
137,-2.981632947921753,-170.83512827132617
138,-2.9847664833068848,-171.0146667754988
139,-2.991142511367798,-171.37998658201855
140,-2.992839813232422,-171.47723489756333
141,-2.9980216026306152,-171.77412981118184
142,-3.0050179958343506,-172.17499395216535
143,-3.008733034133911,-172.38785014725156
144,-3.012183666229248,-172.58555696996257
145,-3.0164222717285156,-172.82841138122188
146,-3.021768808364868,-173.13474562424642
147,-3.025479316711426,-173.34734227192493
148,-3.0282468795776367,-173.50591207763415
149,-3.0337727069854736,-173.82251893384728
150,-3.0347843170166016,-173.8804799681016
151,-3.0406148433685303,-174.2145448025794
152,-3.0438358783721924,-174.39909666983746
153,-3.0449788570404053,-174.4645845789148
154,-3.0503811836242676,-174.7741153531709
155,-3.050096035003662,-174.75777752687625
156,-3.0525622367858887,-174.8990805997791
157,-3.0590949058532715,-175.27337528244897
158,-3.056875467300415,-175.14621071307036
159,-3.0584068298339844,-175.23395139725974
160,-3.0596251487731934,-175.30375598953867
161,-3.060199737548828,-175.3366775291458
162,-3.05819034576416,-175.2215477632501
163,-3.0714240074157715,-175.97978136384407
164,-3.0664992332458496,-175.69761235051453
165,-3.0746071338653564,-176.16216122911143
166,-3.0678367614746094,-175.77424713773271
167,-3.0682973861694336,-175.8006390109779
168,-3.0686252117156982,-175.81942204706078
169,-3.068822145462036,-175.8307055291004
170,-3.0688936710357666,-175.83480364606393
171,-3.0689029693603516,-175.8353364012692
172,-3.0689074993133545,-175.83559594867688
173,-3.0689141750335693,-175.83597843959348
174,-3.0689189434051514,-175.83625164739107
175,-3.068923234939575,-175.83649753440886
176,-3.0689306259155273,-175.8369210064951
177,-3.0689330101013184,-175.83705761039388
178,-3.0689380168914795,-175.83734447858134
179,-3.068941116333008,-175.83752206364974
180,-3.0689451694488525,-175.8377542902777
181,-3.0689475536346436,-175.83789089417647
182,-3.0689520835876465,-175.83815044158416
183,-3.0689570903778076,-175.83843730977162
184,-3.0689587593078613,-175.83853293250075
185,-3.0689597129821777,-175.83858757406028
186,-3.0689637660980225,-175.8388198006882
187,-3.068963050842285,-175.83877881951858
188,-3.0723352432250977,-176.03199137395956
189,-3.0723321437835693,-176.03181378889113
190,-3.072333812713623,-176.0319094116203
191,-3.0677220821380615,-175.76767649020118
192,-3.060657024383545,-175.36287815693268
193,-3.053802251815796,-174.97012828753697
194,-3.046668767929077,-174.56140942237334
195,-3.0395572185516357,-174.15394731307856
196,-3.0324606895446777,-173.7473458083461
197,-3.0253844261169434,-173.3419054367533
198,-3.0183231830596924,-172.93732566972287
199,-3.011276960372925,-172.53360650725477
200,-3.0016672611236572,-171.98301083281342
201,-2.9947826862335205,-171.5885534146829
202,-2.987931728363037,-171.19602211152528
203,-2.9811155796051025,-170.80548522528989
204,-2.976248025894165,-170.52659470553118
205,-2.9713382720947266,-170.245286296764
206,-2.9639787673950195,-169.8236173819956
207,-2.952566146850586,-169.16972183929332
208,-2.950442314147949,-169.04803508625596
209,-2.9393818378448486,-168.4143159394042
210,-2.9332094192504883,-168.06066210584063
211,-2.928605556488037,-167.79687997728752
212,-2.9190175533294678,-167.24752739832513
213,-2.915618896484375,-167.05279854060763
214,-2.9035894870758057,-166.36356356928977
215,-2.903242588043213,-166.3436877020166
216,-2.8972208499908447,-165.99866723485627
217,-2.886249542236328,-165.37005707381903
218,-2.8793299198150635,-164.97359157837639
219,-2.8769168853759766,-164.83533477241645
